title,artist,part_song,chord_absolute,roman_numeral,start_time,end_time
Kesepian,Vierratale,outro,F,IV,237.238276644,240.46585034
Kesepian,Vierratale,outro,Fm,iv,240.46585034,245.434920635
Kesepian,Vierratale,outro,C,I,245.434920635,252.284
Perih,Vierratale,intro,Am,vi,0.626938776,2.623854875
Perih,Vierratale,intro,Em,iii,2.623854875,4.574331066
Perih,Vierratale,intro,F,IV,4.574331066,6.362267574
Perih,Vierratale,intro,G,V,6.362267574,8.2430839
Perih,Vierratale,intro,Am,vi,8.2430839,10.263219955
Perih,Vierratale,intro,Em,iii,10.263219955,12.2369161
Perih,Vierratale,intro,F,IV,12.2369161,14.140952381
Perih,Vierratale,intro,G,V,14.140952381,16.114648526
Perih,Vierratale,verse,Am,vi,16.114648526,18.18122449
Perih,Vierratale,verse,Em,iii,18.18122449,20.085260771
Perih,Vierratale,verse,F,IV,20.085260771,22.035736961
Perih,Vierratale,verse,G,V,22.035736961,23.986213152
Perih,Vierratale,verse,Am,vi,23.986213152,25.890249433
Perih,Vierratale,verse,Em,iii,25.890249433,27.817505669
Perih,Vierratale,verse,F,IV,27.817505669,29.767981859
Perih,Vierratale,verse,G,V,29.767981859,31.695238095
Perih,Vierratale,pre-chorus,Dm,ii,31.695238095,33.71537415
Perih,Vierratale,pre-chorus,Em,iii,33.71537415,35.619410431
Perih,Vierratale,pre-chorus,F,IV,35.619410431,39.427482993
Perih,Vierratale,pre-chorus,Dm,ii,39.427482993,41.470839002
Perih,Vierratale,pre-chorus,Em,iii,41.470839002,43.351655329
Perih,Vierratale,pre-chorus,F,IV,43.351655329,45.441451247
Perih,Vierratale,pre-chorus,G,V,45.441451247,47.345487528
Perih,Vierratale,chorus,F,IV,47.345487528,49.226303855
Perih,Vierratale,chorus,Am,vi,49.226303855,51.246439909
Perih,Vierratale,chorus,G,V,51.246439909,52.128798186
Perih,Vierratale,chorus,G#m,#v,52.128798186,53.104036281
Perih,Vierratale,chorus,Am,vi,53.104036281,55.100952381
Perih,Vierratale,chorus,F,IV,55.100952381,57.004988662
Perih,Vierratale,chorus,Am,vi,57.004988662,58.955464853
Perih,Vierratale,chorus,G,V,58.955464853,62.856417234
Perih,Vierratale,interlude,Am,vi,62.856417234,64.73723356
Perih,Vierratale,interlude,Em,iii,64.73723356,66.710929705
Perih,Vierratale,interlude,F,IV,66.710929705,68.707845805
Perih,Vierratale,interlude,G,V,68.707845805,70.565442177
Perih,Vierratale,interlude,Am,vi,70.565442177,72.585578231
Perih,Vierratale,interlude,Em,iii,72.585578231,74.489614512
Perih,Vierratale,interlude,F,IV,74.489614512,76.393650794
Perih,Vierratale,interlude,G,V,76.393650794,78.390566893
Perih,Vierratale,verse,Am,vi,78.390566893,80.387482993
Perih,Vierratale,verse,Em,iii,80.387482993,82.291519274
Perih,Vierratale,verse,F,IV,82.291519274,84.21877551
Perih,Vierratale,verse,G,V,84.21877551,86.169251701
Perih,Vierratale,verse,Am,vi,86.169251701,88.1661678
Perih,Vierratale,verse,Em,iii,88.1661678,90.046984127
Perih,Vierratale,verse,F,IV,90.046984127,91.997460317
Perih,Vierratale,verse,G,V,91.997460317,93.971156463
Perih,Vierratale,pre-chorus,Dm,ii,93.971156463,95.921632653
Perih,Vierratale,pre-chorus,Em,iii,95.921632653,97.918548753
Perih,Vierratale,pre-chorus,F,IV,97.918548753,101.819501134
Perih,Vierratale,pre-chorus,Dm,ii,101.819501134,103.839637188
Perih,Vierratale,pre-chorus,Em,iii,103.839637188,105.650793651
Perih,Vierratale,pre-chorus,F,IV,105.650793651,107.647709751
Perih,Vierratale,pre-chorus,G,V,107.647709751,109.598185941
Perih,Vierratale,chorus,F,IV,109.598185941,111.502222222
Perih,Vierratale,chorus,Am,vi,111.502222222,113.499138322
Perih,Vierratale,chorus,G,V,113.499138322,114.451156463
Perih,Vierratale,chorus,G#m,#v,114.451156463,115.426394558
Perih,Vierratale,chorus,Am,vi,115.426394558,117.400090703
Perih,Vierratale,chorus,F,IV,117.400090703,119.257687075
Perih,Vierratale,chorus,Am,vi,119.257687075,121.277823129
Perih,Vierratale,chorus,G,V,121.277823129,125.17877551
Perih,Vierratale,interlude,Am,vi,125.17877551,127.198911565
Perih,Vierratale,interlude,G,V,127.198911565,129.062312925
Perih,Vierratale,interlude,F,IV,129.062312925,132.963265306
Perih,Vierratale,interlude,Am,vi,132.963265306,134.931156463
Perih,Vierratale,interlude,G,V,134.931156463,136.759727891
Perih,Vierratale,interlude,F,IV,136.759727891,140.71292517
Perih,Vierratale,interlude,C,I,140.71292517,142.628571429
Perih,Vierratale,interlude,G,V,142.628571429,144.579047619
Perih,Vierratale,chorus,F,IV,144.579047619,146.599183673
Perih,Vierratale,chorus,Am,vi,146.599183673,148.462585034
Perih,Vierratale,chorus,G,V,148.462585034,149.402993197
Perih,Vierratale,chorus,G#m,#v,149.402993197,150.343401361
Perih,Vierratale,chorus,Am,vi,150.343401361,152.346122449
Perih,Vierratale,chorus,F,IV,152.346122449,154.331428571
Perih,Vierratale,chorus,Am,vi,154.331428571,156.351564626
Perih,Vierratale,chorus,G,V,156.351564626,160.182857143
Perih,Vierratale,chorus,F,IV,160.182857143,162.150748299
Perih,Vierratale,chorus,Am,vi,162.150748299,164.083809524
Perih,Vierratale,chorus,G,V,164.083809524,165.163537415
Perih,Vierratale,chorus,G#m,#v,165.163537415,166.05170068
Perih,Vierratale,chorus,Am,vi,166.05170068,168.002176871
Perih,Vierratale,chorus,F,IV,168.002176871,169.882993197
Perih,Vierratale,chorus,Am,vi,169.882993197,171.885714286
Perih,Vierratale,chorus,G,V,171.885714286,175.786666667
Perih,Vierratale,chorus,Am,vi,175.786666667,177.789387755
Perih,Vierratale,outro,Em,iii,177.789387755,179.705034014
Perih,Vierratale,outro,F,IV,179.705034014,181.638095238
Perih,Vierratale,outro,G,V,181.638095238,183.588571429
Perih,Vierratale,outro,Am,vi,183.588571429,185.451972789
Perih,Vierratale,outro,Em,iii,185.451972789,187.367619048
Perih,Vierratale,outro,F,IV,187.367619048,189.283265306
Perih,Vierratale,outro,G,V,189.283265306,192.644353741
Perih,Vierratale,outro,Am,vi,192.644353741,202.245
Takut,Vierratale,verse,F,IV,0.417959184,3.529433107
Takut,Vierratale,verse,Em,iii,3.529433107,6.59446712
Takut,Vierratale,verse,Dm,ii,6.59446712,9.613061224
